Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
m,183,4,10,r,blue,y,0,1,blue,energyst,0,y,y,bike,60,l
f,,1,14,r,green,y,3,0,green,envsci,0,y,y,bus,15,r
f,170,6,2,l,brown,y,0,1,green,envsci,2,y,y,bike,45,r
f,160,3,15,r,brown,n,1,2,blue,biolsci,3,y,y,car,10,r
f,171,8,16,r,bl/grn,n,1,2,green,consbiol,2,n,y,car,20,r
m,191,3,25,r,hazel,y,2,0,red,bsinfsys,1,n,y,bus,45,l
f,172,5,25,r,blue,y,1,2,pink,hlth&env,2,n,y,car,15,l
f,160,3,22,r,blue,n,3,0,purple,,0,n,y,walk,20,r
f,165,6,20,r,blue,y,2,0,red,physics,1,y,y,walk,15,r
m,171,11,4,r,blue,n,2,0,red,envsci,1,y,y,bus,30,l
f,160,10,28,r,blue,n,0,1,brown,consbiol,1,y,y,car,60,l
f,158,7,12,r,hazel,y,0,1,blue,biolsci,8,y,n,walk,20,l
f,170,6,29,r,blue,y,1,0,purple,biolsci,1,y,y,car,50,l
m,174,11,15,r,hazel,n,2,0,blue,maths,2,n,y,bus,30,r
f,180,8,10,r,blue,y,1,0,blue,educatn,14,y,y,trn&bus,75,l
m,185,11,6,r,blue,n,2,1,red,marinsci,0,y,y,bus,40,r
m,184,12,2,r,blue,n,0,3,blue,marinsci,2,y,n,car,25,l
m,195,11,12,r,brown,n,1,1,green,marinsci,1,y,y,car,40,r
m,180,8,16,r,brown,n,0,1,blue,biolsci,3,y,y,trn&bus,45,r
m,179,2,24,r,blue,n,1,0,blue,envrest,9,n,y,car,30,r
m,173,6,21,r,brown,y,2,1,blue,envsci,1,y,y,bus,15,l
m,183,9,28,r,bl/grn,n,3,1,green,consbiol,2,y,y,car,12,l
f,165,9,27,r,dkbrown,n,0,1,red,marinsci,0,y,y,car,10,l
f,175,4,29,r,brown,n,0,2,blue,biolsci,5,n,y,car,30,r
f,167,10,3,r,black,y,0,1,red,marinsci,1,y,y,bus,50,r
f,165,2,4,r,hazel,n,2,0,purple,biolsci,40,y,y,car,45,r
f,165,1,28,r,brown,n,1,0,green,molbiol,2,y,y,car,17.5,r
m,178,4,14,r,hazel,y,0,1,green,envsci,1,y,y,car,15,l
f,150,5,19,r,brown,n,1,0,purple,consbiol,3,y,y,bus,35,r
f,154,12,15,r,hazel,n,2,1,blue,marinsci,0,y,y,car,5,l
f,178,1,13,r,brown,y,1,1,green,envsci,1,n,y,car,30,l
f,165,5,19,r,hazel,n,1,0,purple,envsci,2,y,y,car,60,r
f,183,12,3,r,hazel,n,1,0,yellow,envsci,0,y,y,walk,8,r
f,173,9,5,r,blue,y,2,1,blue,envsci,1,y,y,bus,40,l
f,176,9,1,r,green,n,3,1,blue,molbiol,0,y,y,car,40,r
f,156,1,10,r,brown,y,0,2,pink,envsci,1,y,y,car,30,r
m,188,6,25,r,brown,y,2,1,blue,maths,0,y,n,bike,5,l
m,175,9,7,r,brown,n,1,0,blue,marinsci,0,n,y,car,2,l
