Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
m,173,8,25,r,brown,n,2,0,blue,mathstat,2,y,y,car,10,r
m,183,2,14,r,blue,y,1,0,blue,mathstat,3,n,n,car,20,r
m,184,3,18,r,green,n,1,1,green,hlth&env,0,y,y,walk,3,r
f,164,7,19,r,hazel,n,1,1,blue,biomed,13,n,y,car,75,r
f,158,6,9,r,blue,n,1,0,blue,biomed,7,n,y,bus,20,r
m,182,4,17,r,hazel,n,1,0,blue,mathstat,5,y,y,car,10,r
m,,10,12,r,brown,n,1,0,red,biot/com,2,n,y,bus,70,r
m,183,6,1,r,blue,n,2,1,yellow,forb&tox,1,n,y,car,17.5,r
m,180,9,21,l,blue,n,1,0,white,biotech,51,y,y,car,15,r
f,168,7,4,r,brown,n,0,2,blue,envrest,1,y,y,car,5,r
m,175,8,6,r,blue,n,2,0,blue,forb&tox,1,n,y,car,15,l
f,,11,27,r,brown,n,0,0,blue,molbiol,5,y,y,trainbus,90,r
f,165,4,17,r,brown,n,0,1,green,envrest,1,y,y,car,45,l
f,169,8,28,r,hazel,n,3,0,blue,mathstat,2,y,y,walk,15,r
f,172,4,1,r,green,y,2,2,red,envsci,0,y,y,car,15,l
f,163,6,25,r,dkbrown,n,2,2,black,biotech,0,y,y,walk,10,l
f,163,11,29,r,brown,y,2,0,gold,biotech,0,y,n,walk,15,r
f,163,7,12,r,black,n,1,2,pink,biotech,0,y,y,walk,10,y
m,177,7,6,r,brown,n,1,0,blue,biot/com,0,y,y,walk,15,r
f,174,2,18,r,blue,y,0,1,blue,forb&tox,1,y,y,trainbus,90,l
f,160,10,31,r,brown,y,0,4,purple,molbiol,1,y,y,car,60,l
f,164,4,21,r,blue,n,0,1,blue,biomed,1,y,y,bus,75,l
f,172,3,14,r,brown,y,1,0,purple,forb&tox,15,n,n,trainbus,90,r
f,165,8,9,r,brown,y,1,1,yellow,forb&tox,0,y,y,car,45,l
f,173,12,4,r,hazel,y,0,1,purple,forb&tox,4,n,y,car,30,r
m,155,11,6,r,brown,n,1,0,blue,forb&tox,n,y,y,car,50,r
f,168,3,26,r,green,n,0,2,pink,forb&tox,6,y,y,bus,15,r
f,170,4,12,r,brown,n,1,0,green,forb&tox,2,y,n,trainbus,75,r
f,160,5,9,r,green,y,1,1,purple,forb&tox,2,n,n,car,35,r
m,150,8,30,l,blue,y,0,1,blue,envrest,1,y,y,car,90,l
m,175,3,15,r,black,n,1,0,blue,biotech,1,n,y,walk,7,r
f,165,1,6,r,blue,n,1,0,green,marinsci,5,y,y,car,20,r
m,180,9,5,r,blue,y,0,1,blue,forb&tox,0,n,y,car,20,l
f,152,10,6,r,dkbrown,n,1,2,black,forb&tox,0,n,n,trainbus,120,r
f,155,2,3,r,brown,y,1,2,yellow,forb&tox,0,n,n,trainbus,90,r
f,176,12,1,r,brown,y,1,0,blue,hlth&env,1,y,y,trainbus,60,l
f,,3,29,r,dkbrown,n,2,1,blue,hlth&env,0,y,y,car,27,r
m,184,12,14,r,green,n,2,0,blue,forb&tox,2,n,y,bike,60,l
f,162,5,21,r,brown,y,1,0,black,biot/com,0,n,n,walk,15,r
f,158,9,2,r,brown,n,0,2,purple,forb&tox,5,y,y,walk,10,r
f,155,9,10,r,hazel,y,0,1,blue,molbiol,0,y,y,car,40,l
f,168,5,25,r,brown,y,2,2,blue,forb&tox,3,n,y,car,40,r
m,183,11,5,r,blue,y,0,0,blue,molbiol,1,n,y,bus,30,l
f,169,9,2,r,green,y,0,2,black,forb&tox,4,y,y,bus,10,r
f,163,10,27,r,blue,y,2,1,purple,forb&tox,3,n,y,car,10,r
f,173,6,11,r,green,n,2,2,blue,forb&tox,9,n,y,car,30,r
f,172,2,5,r,hazel,y,1,0,green,susdev,1,y,y,bike,15,r
m,186,4,6,r,brown,n,2,0,red,biolsci,1,n,y,bus,20,r
f,161,1,22,r,brown,y,0,1,purple,biolsci,1,n,y,bike,10,l
f,167,7,14,r,brown,n,1,1,purple,forb&tox,1,y,y,car,10,l
m,176,3,23,r,brown,n,1,2,blue,marinsci,0,y,y,bike,15,r
m,180,9,18,r,hazel,n,1,0,green,envsci,3,y,y,car,15,r
f,160,7,6,r,blue,n,0,2,blue,mmedinfs,2,n,n,car,25,l
m,173,5,27,r,brown,y,2,0,green,mathstat,0,n,y,bike,15,r
m,185,5,16,r,green,n,0,1,blue,biotech,2,n,y,bus,30,r
f,150,5,13,r,brown,n,0,2,purple,forb&tox,0,n,y,walk,20,r
m,173,11,20,r,blu/grey,y,0,2,red,softeng,0,n,y,car,30,r
m,176,4,6,r,brown,n,1,1,,envsci,1,y,y,car,25,r
f,170,6,13,r,blue,y,1,2,blue,educat,2,y,y,car,10,r
f,186,10,19,r,brown,y,2,5,blue,marinsci,2,y,y,car,30,r
f,160,5,5,r,brown,n,1,0,purple,marinsci,2,y,y,walk,5,r
f,181,2,14,r,hazel,n,2,3,black,forb&tox,1,y,y,bus,90,r
f,164,9,8,r,blue,n,0,1,pink,forb&tox,1,n,y,car,37,r
f,165,6,24,r,hazel,y,0,1,purple,forb&tox,1,n,y,car,50,r
f,165,1,16,r,blue,n,1,0,blue,forb&tox,1,n,y,bus,60,r
f,158,5,14,r,brown,n,0,1,pink,molbiol,0,n,y,trainbus,50,r
m,174,12,3,r,brown,n,0,1,green,forb&tox,4,y,y,walk,25,r
f,169,8,10,r,blue,n,1,1,blue,forb&tox,4,n,y,car,25,r
m,197,4,14,r,blue,n,0,1,blue,forb&tox,3,y,y,bus,90,l
f,172,10,10,r,brown,y,1,0,orange,forb&tox,24,n,y,car,50,r
f,159,3,18,r,brown,y,1,2,purple,forb&tox,11,n,y,car,20,r
f,175,10,1,r,brown,n,1,3,blue,hlth&env,3,y,y,car,20,r
