Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
m,186,9,24,r,brown,n,0,3,pink,forb&tox,0,n,n,car,30,r
m,178,3,6,r,brown,n,2,1,,envsci,0,n,y,car,4,r
f,,6,6,r,hazel,n,1,1,pink,forb&tox,5,n,y,bus/train,35,l
m,180,1,28,r,hazel,n,3,0,blue,marinsci,4,y,y,car,60,r
f,150,1,26,r,brown,y,4,3,green,forb&tox,0,n,n,walk,5,l
f,164,2,21,r,brown,y,0,1,blue,educat,0,n,y,car,15,r
f,149,10,31,l,brown,n,1,0,pink,business,0,y,y,bus,80,l
m,175,8,24,r,blue,n,2,3,green,forb&tox,3,n,y,bus,90,r
f,163,6,6,r,brown,n,3,0,blue,biomed,0,,y,bus,60,r
m,179,1,15,r,blue,n,5,1,blue,envisc,1,y,y,car,15,r
f,177,1,5,r,blue,y,0,1,green,forb&tox,1,y,y,bus,60,r
f,167,11,29,r,hazel,y,2,0,green,envsci,4,y,y,car,7,r
f,170,9,17,r,blue,g,2,0,blue,general,2,y,y,bus,60,r
f,158,6,6,r,brown,y,0,2,blue,biot/com,5,y,y,car,30,l
f,163,4,20,r,brown,y,2,1,blue,biot/chem,1,n,y,bus,10,l
f,177,1,18,r,green,y,1,1,red,,5,y,y,bus,30,r
f,174,10,22,r,green,n,2,0,pink,biolsc,5,y,y,bus,30,r
f,182,1,15,l,green,n,1,1,black,envsci,2,y,y,bus,60,l
m,178,1,20,r,brown,n,0,1,orange,envsci,2,y,y,car,10,r
m,183,9,16,r,blue,y,0,1,red,biotech,0,y,n,walk,10,r
m,183,9,16,r,blue,y,0,1,red,biotech,0,y,n,walk,10,r
m,180,6,12,r,brown,y,0,1,blue,forb&tox,1,n,y,car,50,r
m,190,5,12,r,brown,y,4,1,red,molbiol,7,y,y,car,15,r
m,165,1,10,r,brown,n,0,2,blue,susdev,1,n,y,bus,60,r
m,172,12,27,r,brown,n,1,6,grey,molbiol,0,n,y,bus,45,r
f,155,2,12,r,blue,y,0,2,purple,biomed,3,n,n,car,30,r
f,160,10,24,r,brown,n,1,1,purple,biolsc,3,y,y,bus,50,l
f,165,5,12,r,green,n,0,1,blue,biomed/forb&tox,5,n,y,car,25,r
f,165,11,17,r,brown,n,0,0,pink,eng/sci,0,y,y,car,10,l
f,168,9,25,l,blue,n,0,2,green,forb&tox,2,n,y,car,45,r
m,180,1,15,r,green,n,1,1,green,forb&tox,1,n,n,walk,45,r
m,175,5,13,l,blue,y,0,2,green,biomed,2,n,y,car,40,l
f,170,5,22,r,blue,n,2,1,blue,envsci,1,y,y,bus,45,l
f,172,6,14,r,brown,y,0,0,green,biomed,3,y,y,car,15,r
f,165,5,2,l,blue,n,1,2,blue,envsci,2,y,y,walk,10,l
f,152,2,15,r,blue,y,2,2,blue,hlth&env,2,y,y,car,10,l
f,170,12,22,r,brown,n,1,0,red,forb&tox,0,y,y,car,5,r
m,176,2,24,r,hazel,n,3,0,blue,forb&tox,0,y,n,car,25,r
m,18,5,11,r,brown,n,0,2,blue,hlth&env,1,y,y,car,50,r
f,168,12,7,r,blue,n,0,2,blue,envirnrest,2,y,y,car,15,r
f,175,2,2,r,blue,y,1,2,brown,envsci,1,y,y,car,15,l
f,164,2,27,r,hazel,n,1,1,yellow,forb&tox,4,y,y,walk,5,r
f,163,8,17,r,brown,n,1,1,green,biomed,6,y,y,bus/train,70,r
f,175,10,30,r,hazel,n,3,0,purple,forb&tox,10,n,y,bus,80,r
f,160,1,15,r,blue,n,1,0,pink,consbiol/tourism,3,y,y,car,20,l
f,157,2,28,r,blue,n,0,0,green,biotech,4,y,y,bus,30,l
m,178,8,21,l,blue,n,1,0,red,envsci,0,y,y,car,25,l
f,169,11,24,r,green,n,1,1,blue,molbiol,2,n,y,bus,60,r
f,164,7,22,r,blue,n,0,1,blue,forb&tox,3,y,y,bus,45,r
f,164,10,26,r,hazel,n,0,1,brown,molbiol/biomed,0,y,y,bus,110,r
f,168,3,22,r,brown,y,1,0,blue,forb&tox,1,n,y,bus,90,r
f,160,10,31,r,brown,y,0,3,blue,mathstat,5,y,n,car,60,l
m,202,11,1,r,brown,n,1,1,red,marinsci,1,n,n,car,45,r
m,,8,24,r,brown,n,2,1,blue,marinsci,2,y,y,car,2,r
m,184,7,3,r,hazel,y,0,2,red,forb&tox,1,y,y,car,15,r
m,177,5,8,r,blue,n,1,0,blue,envsci,0,y,y,car,15,r
f,165,8,7,l,brown,n,1,1,blue,forb&tox,0,y,y,car,10,l
